InvestigationDate,CustomerId,Current
2026-04-27,C2198,0.97
2026-04-30,C2201,0.80
2026-04-30,C2202,0.81
2026-04-30,C2203,0.82
2026-04-30,C2204,0.83
2026-04-30,C2205,0.84
2026-04-30,C2206,0.85
2026-04-30,C2207,0.86
2026-04-30,C2208,0.87
2026-04-30,C2209,0.88
2026-04-30,C2210,0.89
2026-04-30,C2211,0.90
2026-04-30,C2212,0.91
2026-04-30,C2213,0.92
2026-04-30,C2214,0.93
2026-04-30,C2215,0.94
2026-04-30,C2216,0.95
2026-04-30,C2217,0.96
2026-04-30,C2218,0.97
