StoreCode,SalesDate,PosNo,SlipNo,PlanCode,PlanName,CouponCode,ScannedMemberCode,CouponJan,IssueType,CouponName,StartDate,EndDate,MemberTargetType
0001,2026-05-07,2,17,9002,アプリ配信クーポン,C1002,M1017,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,3,15,9002,アプリ配信クーポン,C1002,M1030,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-01,1,18,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-01,1,19,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-02,3,20,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-02,2,21,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,3,22,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-03,2,23,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-04,2,24,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-04,2,25,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,1,26,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-05,2,27,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,3,28,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-06,2,29,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,2,30,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-07,3,31,9002,アプリ配信クーポン,C1002,M1007,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
